Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,-9106563.487,-8431855.707,-7846725.364,-8588276.712,-9418802.362,-9225719.462,-8417837.135,-8951706.929,-9147380.437,-7596553.604,-7096596.758,-7448209.551,-7879078.852,-7867516.027,-7207962.935,-6712436.744,-8054924.092,-6826835.51,-6310456.529,-7572547.839,-7405703.737,-5924562.988,-7109475.585,-8531370.706,-6825096.564,-6151256.219,-7381507.465,-7588793.833,-6071035.066,-7285242.079
AUSTRIA,-237517.0377,-217704.6465,-225215.2819,-224500.0597,-221116.7944,-182695.5092,-209579.1027,-214577.6681,-215491.0889,-174835.9652,-185847.6981,-165835.2055,-183720.3843,-201404.2021,-153505.8477,-122804.6781,-147365.6138,-176838.7365,-141470.9892,-136886.6774,-164264.0129,-143430.0268,-137668.4582,-165202.1499,-149181.5196,-132396.1222,-158875.3466,-165153.3963,-132122.7171,-158547.2605
BELGIUM,-378115.5906,-279984.0279,-279926.4869,-351404.69,-380288.9325,-390278.592,-389414.3452,-399924.1162,-383072.5927,-423193.4879,-429717.1985,-429736.5315,-366257.5632,-213078.7124,-518605.7888,-622326.9467,-497861.5573,-426203.0204,-511443.6245,-584100.9159,-467280.7325,-497205.6116,-596646.7339,-477317.3871,-456021.0772,-547225.2924,-511827.6111,-436873.1738,-524247.8085,-585400.2658
FINLAND,-48905.49276,-45270.07956,-44090.37951,-52745.18507,-60673.48173,-58736.05584,-63713.92745,-52545.40639,-53169.97343,-52802.64447,-45723.49908,-41119.38307,-35278.03353,-29731.14873,-49910.6317,-59892.75803,-47914.20641,-41757.07817,-50108.49379,-54912.37419,-43929.89938,-50096.4933,-60115.79194,-48092.63358,-41972.05091,-50366.46111,-55542.20646,-44433.76517,-49837.40631,-59804.88753
FRANCE,-1028857.168,-809179.9912,-680738.7921,-757128.3222,-840901.5792,-860798.7409,-998472.6115,-1119271.264,-859531.5253,-820018.1029,-836569.1078,-863839.9628,-949479.2237,-406996.0301,-873871.6461,-1048645.976,-838916.7805,-746953.6781,-896344.4136,-945481.3955,-756385.1167,-907662.1396,-1006353.773,-805083.0178,-847314.0385,-1016776.846,-813421.4768,-810773.938,-972928.7259,-783470.8975
GERMANY,-1473395.337,-1150895.938,-1304927.952,-810221.403,-1153753.349,-1396360.794,-929816.778,-891075.3165,-1362554.06,-1092058.962,-965605.4755,-1048832.427,-1052930.649,-830247.5737,-1143680.015,-1372416.018,-1097932.815,-961847.8465,-1154217.416,-1286627.276,-1029301.821,-1132202.006,-1358642.407,-1086913.926,-948964.4458,-1138757.335,-1290044.872,-1032035.898,-1094552.216,-1313462.659
ITALY,-775251.9811,-599707.6098,-546805.8162,-609674.9414,-707225.1104,-751484.7962,-794877.7651,-793421.03,-954684.578,-781273.8005,-808196.2071,-933331.9321,-1156375.126,-869111.648,-695848.7891,-556679.0311,-668014.8375,-801617.8052,-641294.2441,-600520.7015,-720624.8418,-724594.0896,-579675.2716,-695610.3262,-823911.9438,-659129.5549,-592701.4598,-711241.7516,-761534.9269,-609227.9414
NETHERLANDS,-426025.2652,-322330.2812,-297038.5301,-275145.0427,-283133.2021,-408359.2382,-394062.6783,-218151.874,-251179.1967,-230234.2235,-236105.965,-222018.3092,-218312.2039,-109036.2404,-274491.9569,-329390.3483,-263512.2786,-236496.2296,-283795.4755,-301327.7267,-241062.1814,-289274.6176,-330036.0593,-264028.8474,-246374.8294,-295649.7953,-256040.4188,-232391.0151,-278869.2181,-292858.5088
PORTUGAL,-92847.11055,-55252.10253,-59389.59405,-74972.44227,-83347.50101,-96029.91293,-96400.24471,-116542.7481,-174031.5772,-122498.2082,-124339.8768,-145135.459,-144192.9782,-152075.6747,-136965.853,-110118.4159,-132142.0991,-158570.5189,-126856.4152,-121749.8198,-146099.7837,-136204.7171,-111554.3446,-133865.2135,-159461.918,-127569.5344,-119012.6566,-142815.1879,-141199.3042,-112959.4434
SPAIN,-882643.7776,-779970.1811,-760402.8702,-733794.6121,-857950.3409,-1006534.322,-1002257.943,-944690.4681,-890352.0084,-897943.1316,-775187.8991,-1024592.602,-1097540.929,-938055.8115,-943119.3457,-933385.8292,-982018.8305,-894580.7355,-943665.8989,-1002763.976,-831543.6901,-995641.7654,-1034743.397,-827794.7174,-986581.551,-1092090.927,-873672.7414,-906131.3838,-1087357.661,-869886.1283
SWEDEN,-197473.8983,-135956.1876,-162007.4694,-171995.1815,-160809.1097,-177330.1097,-21736.66331,-79420.87977,-117080.6607,-63121.36573,-131717.5876,-68849.66212,-62864.96748,-61854.52205,-95698.87618,-114838.6514,-91870.92115,-73496.73692,-88196.0843,-105835.3011,-84668.24094,-88314.32093,-105977.1851,-84781.74808,-95895.97455,-111551.4112,-89241.129,-78426.26918,-94111.52297,-103631.8502
UNITED KINGDOM  ,-726415.1375,-1030657.138,-825496.5528,-1085343.609,-1201307.826,-1135553.806,-789283.9725,-1070115.597,-1188475.454,-774540.5629,-655121.4187,-508205.2877,-461201.4153,-601713.9468,-574393.9587,-550672.5577,-640170.6193,-520783.7031,-588731.3275,-674099.2915,-539279.4333,-528165.7698,-633798.924,-533693.1593,-510112.2018,-612134.6421,-568326.488,-497874.9358,-597449.9232,-594532.7318
CZECH REPUBLIC ,-213337.21,-208119.7281,-199224.9579,-218745.8566,-223919.9007,-253314.1502,-248442.9761,-252851.4588,-227912.8176,-266565.7787,-222378.6332,-235672.8163,-271395.9698,-271239.2666,-191041.6541,-152833.3232,-183399.9879,-220079.9855,-176063.9884,-166272.8329,-199527.3995,-194651.2084,-155720.9667,-186865.16,-224238.1921,-179390.5536,-167387.4203,-200864.9043,-190435.2244,-157670.4419
HUNGARY,-22185.06091,-32233.12384,-44995.27018,-55803.9779,-61999.95614,-46644.2641,-51885.62333,-65553.41641,-75728.35036,-78877.68576,-93016.79551,-86110.85955,-85915.67223,-77665.1976,-77770.64121,-69450.47854,-83340.57427,-82228.08485,-65782.46786,-78938.96144,-94502.98237,-75602.3859,-65137.55047,-78165.06056,-86705.65189,-69364.5215,-75565.32158,-90678.3859,-72542.70873,-65280.21015
POLAND,-163082.3223,-113699.7928,-115657.9557,-131936.4285,-167299.7161,-249302.187,-320540.6655,-345432.9019,-343988.0298,-266564.6414,-275072.3921,-297515.2385,-411176.425,-425984.279,-143407.5972,-114726.0778,-137671.2933,-165205.552,-132164.4416,-123675.5279,-148410.6334,-145921.8989,-116737.5191,-140085.0229,-168102.0275,-134481.622,-107585.2976,-129102.3571,-154922.8285,-123938.2628
ROMANIA,-77073.52611,-78252.31543,-74561.43696,-75554.95269,-81155.10314,-74097.07213,-78307.91533,-104631.4036,-117188.1081,-99781.47747,-95455.04915,-79735.81762,-59477.01847,-71323.25905,-100879.2732,-121055.1279,-96844.10232,-86854.49286,-104225.3915,-104811.1999,-83848.95992,-100618.7519,-120742.5023,-96594.00181,-82327.7152,-98793.25826,-115930.4421,-92744.35366,-91077.11944,-109292.5433
SLOVAKIA,-203722.24,-279825.8239,-307901.9834,-309454.0835,-327120.532,-331091.8275,-329166.4699,-344038.3954,-351843.4761,-321665.5997,-325895.7821,-315301.061,-338717.8423,-320822.1744,-273868.9051,-219095.1241,-262914.1489,-315496.9787,-252397.5829,-241889.7,-290267.64,-266683.2414,-226943.4143,-272332.0972,-313099.1274,-250479.3019,-259217.0465,-311060.4558,-248848.3646,-247235.1584
SLOVENIA,-14614.20633,-20339.32977,-14577.19975,-11014.64161,-16854.52068,-20202.55861,-27860.56079,-31265.40127,-28048.10416,-14406.51823,-23944.15717,-8359.513053,-33163.40011,-30966.1492,-7115.540494,-30760.27188,-26319.44237,-24282.56215,-22037.49146,-19505.39122,-16684.27481,-13574.11332,-10174.90621,-6486.653234,-2509.354274,-9885.860369,-8526.17748,-7516.590314,-6984.927134,-7084.581913
SERBIA,-4931.135953,-4963.420035,-31760.77167,-34469.09954,-28422.36541,-26342.06694,-25419.08244,-19256.7985,-12391.21913,-8120.36823,-6974.036446,-2602.504513,-600.6393476,-398.800576,-5301.652045,-6361.982453,-5089.585961,-5101.055579,-6121.266694,-4897.013355,-4311.223899,-5173.468679,-4632.074737,-5558.489686,-6452.683054,-5162.146444,-4129.717155,-4955.660586,-5363.329383,-4290.663508
RUSSIA,-1308018.728,-1378384.81,-1590981.934,-1460648.931,-1188166.856,-1053915.245,-1111704.103,-987922.6032,-990682.1815,-947614.3942,-989195.8895,-806825.2398,-806507.269,-838352.642,-879399.5317,-950290.3766,-760232.3013,-909686.0537,-1031567.349,-825253.8792,-776939.422,-932327.3063,-900813.7317,-720650.9853,-864781.1825,-1037737.419,-830189.9352,-761861.5472,-914233.8566,-922906.4738
AZERBAIJAN,-10967.59205,-20529.53813,-24537.05365,-17720.49605,-9351.353207,-3972.537074,-5428.449181,-10399.83196,-14991.87464,-15180.63962,-21169.41213,-16257.03819,-17912.45578,-18972.23893,-13370.13647,-10696.10917,-12835.33101,-15402.39721,-12321.91777,-10821.55576,-12985.86691,-15572.24572,-12457.79658,-12319.3376,-14783.20512,-11826.56409,-12462.88045,-14955.45654,-11964.36523,-13375.4852
BELARUS,-218536.5252,-264763.9706,-282513.7616,-167719.5693,-163076.8103,-196922.2627,-202636.1311,-72996.14563,-77640.40199,-73892.78163,-67476.90393,-78554.36041,-81210.46323,-93187.58747,-95182.70956,-114219.2515,-91375.40115,-76353.2857,-91623.94282,-104405.34,-83524.27199,-100229.1264,-114252.2271,-91401.78173,-93460.89573,-112153.0748,-89722.45986,-87741.0648,-105289.2778,-93089.08759
KAZAKHSTAN,-42635.60183,-86844.64823,-90650.16672,-88522.9049,-74111.17041,-42517.77654,-49765.73206,-41100.99795,-49393.64201,-48192.7989,-52492.41637,-59361.96642,-108978.6352,-118604.2875,-59239.16513,-105285.0171,-114089.8949,-112353.5208,-110109.4206,-107577.2673,-104756.147,-101645.9839,-98246.77569,-94558.52194,-90581.22237,-86314.87687,-81759.48534,-76915.04772,-71781.56393,-66359.03396
UKRAINE,-192075.834,-237293.6364,-200832.074,-129264.2324,-63265.07892,-53159.70598,-63439.84545,-71383.69198,-120466.205,-93360.72108,-142317.6124,-92026.56227,-77755.08957,-34518.76481,-130537.5841,-156645.1009,-125316.0807,-104632.3166,-125558.7799,-147352.5378,-117882.0302,-112435.3494,-134922.4193,-127482.4156,-112689.6219,-135227.5463,-144822.2187,-115857.7749,-139029.3299,-150886.2425
UZBEKISTAN ,-78108.0497,-64432.82918,-73143.47532,-78278.54074,-62235.78675,-33231.76389,-36615.02099,-68249.28339,-93632.88038,-91492.56372,-82304.25621,-112325.8448,-101858.2873,-99925.97432,-119436.7986,-137340.6149,-109872.4919,-111568.5362,-133882.2435,-107105.7947,-110875.3885,-133050.4662,-106440.373,-112215.5279,-134658.6335,-107726.9068,-109040.4026,-130848.4832,-108148.3322,-109633.1475
TURKEY,-714447.3319,-631484.925,-617771.0158,-562138.6405,-666370.1826,-638513.5519,-661186.7949,-675141.0224,-589992.4676,-808552.7407,-542032.974,-640612.6429,-775042.3359,-985129.3081,-464539.569,-371631.6552,-445957.9863,-535149.5835,-428119.6668,-415563.1036,-498675.7244,-448487.3671,-385074.1913,-462089.0295,-546604.746,-437283.7971,-401803.8531,-482164.6235,-491655.8708,-393324.6966
NORTH AMERICA,-15212188.11,-16032678.44,-16837247.95,-17616096.55,-17627363.06,-18045361.8,-18216408.57,-18296668.75,-18087613.24,-14655648.95,-15211128.79,-16876881.29,-17989300.32,-18966856.82,-15186820.91,-12149456.73,-14579348.08,-17495217.69,-13996174.15,-13329760.8,-15995712.96,-14964283.03,-12606323.25,-15127587.9,-17591313.4,-14073050.72,-13795882.11,-16555058.54,-14166449.75,-13472630.25
CANADA  ,-1542640.884,-1808922.462,-1764353.012,-1805370.412,-1696876.852,-1819463.432,-1677795.501,-1650596.352,-1648120.672,-1190957.634,-1012137.043,-1139658.079,-1350260.728,-1351897.532,-958400.561,-766720.4487,-920064.5384,-1104077.446,-883261.9568,-821103.2505,-985323.9003,-995261.9442,-796209.5555,-955451.4667,-1146541.76,-917233.4076,-801734.6367,-962081.564,-1030080.302,-824064.2417
MEXICO,-1353623.778,-2097588.452,-2202903.227,-2679394.338,-2639692.689,-2552474.843,-3226554.547,-3114221.915,-3143228.261,-2473295.223,-2882695.447,-3406137.286,-3622708.843,-3982442.784,-2785132.035,-2228105.628,-2673726.754,-3208472.105,-2566777.684,-2467480.41,-2960976.492,-2721209.069,-2369933.626,-2843920.351,-3063969.945,-2451175.956,-2941411.148,-3196922.115,-2557537.691,-2691798.529
USA,-8390345.059,-9543957.96,-10219090.7,-10908241.9,-11540068.06,-12240563.43,-11872702.25,-12455855.41,-12205132.37,-10204517.19,-10498584.65,-11217035.75,-11880445.23,-12381697.49,-9939572.047,-7951657.636,-9541989.166,-11450387,-9160309.599,-8625365.408,-10350438.49,-9863243.426,-8262161.01,-9914593.209,-11576973.56,-9261578.848,-9040445.646,-10848534.78,-9288900.459,-8664752.905
SOUTH AMERICA,-3579337.989,-3003020.243,-3147154.828,-3206316.302,-2751608.371,-2237847.242,-2340965.787,-1902554.54,-1869092.842,-1447190.183,-1594127.749,-1840763.605,-1939767.165,-2126322.637,-1965300.868,-2035702.139,-1863079.96,-1999379.734,-2192261.53,-1753809.224,-2064761.822,-2346425.89,-1877140.712,-1750145.098,-2100174.118,-1975825.783,-1615615.787,-1938738.945,-2313330.992,-1850664.794
ARGENTINA,-543900.4021,-509902.9827,-534704.9174,-457855.6352,-450114.5151,-463500.6043,-653366.3883,-384515.6502,-207427.2887,-173255.0009,-219871.6011,-252768.4066,-276019.4212,-261523.1824,-272960.0411,-327552.0494,-262041.6395,-244764.5447,-293717.4537,-265357.349,-220784.0564,-264940.8677,-302886.9954,-242309.5964,-261023.1688,-313227.8026,-250582.2421,-256893.2138,-308271.8565,-246617.4852
BRAZIL,-3168192.144,-2534206.381,-2675453.995,-2856474.614,-2320878.6,-1868763.713,-1875616.278,-1631635.043,-1702827.826,-1275824.712,-1373947.594,-1453885.787,-1633069.126,-1943349.289,-1463139.811,-1201409.273,-1441691.127,-1730029.353,-1384023.482,-1260309.547,-1512371.456,-1590956.922,-1272765.538,-1527318.645,-1664649.362,-1331719.49,-1348592.743,-1618311.291,-1366378.513,-1279197.336
COLOMBIA,-92560.98253,-149308.5209,-142738.9135,-141048.9591,-120924.9892,-117153.8465,-312426.8214,-60839.4275,-84170.30558,-48306.74657,-73110.18459,-108534.7216,-75236.4003,-79800.79041,-143796.1494,-172555.3792,-138044.3034,-119643.2667,-143571.9201,-160188.8567,-128151.0854,-141152.4318,-169382.9182,-135506.3346,-125254.8143,-150305.7771,-148689.1419,-118951.3136,-142741.5763,-166751.7766
ASIA-OCEANIA,-34828977.58,-35000891.08,-30491077.3,-31995768.56,-37145623.72,-37529896.35,-38853839.67,-36551644.96,-34989149.51,-34428946.19,-35236685.6,-39434134.76,-41094292.64,-40963316.75,-36830232.4,-31520013.47,-37824016.16,-40942902.62,-32754322.09,-37430267.81,-44568341.67,-35654673.34,-30851676.76,-37022012.11,-40930759.35,-32744607.48,-37303877.52,-44443452.72,-35554762.19,-31225897.39
