Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
POLAND,-25217.76119,-21674.93085,-19684.50351,-19944.17734,-21468.58827,-22200.67173,-24794.39699,-25783.50304,-25942.01881,-19765.1261,-19106.73281,-22329.34905,-28960.26978,-29608.06465,-15022.99703,-12018.39762,-14422.07715,-17306.49258,-13845.19406,-12822.38862,-15386.86634,-15872.31393,-12697.85114,-15237.42137,-15022.99703,-12018.39762,-14422.07715,-17306.49258,-13845.19406,-12822.38862
ROMANIA,-7153.404805,-8209.185857,-9121.951314,-9078.812089,-8922.73602,-8382.805201,-8335.776425,-10515.20667,-11209.00136,-10257.68928,-9725.606564,-11372.62067,-11780.62154,-12678.15771,-10114.65782,-8091.726253,-9710.071506,-11652.08581,-9321.668644,-8865.362476,-10638.43497,-9939.67522,-8795.071327,-10554.08559,-10114.65782,-8091.726253,-9710.071506,-11652.08581,-9321.668644,-8865.362476
SLOVAKIA,-14686.95218,-20173.48963,-22197.58485,-22309.48044,-23583.10812,-23869.41082,-23730.60597,-24802.76804,-25365.45991,-23189.84556,-23494.8122,-22731.00672,-24419.19328,-23129.04048,-19744.03735,-15795.22988,-18954.27585,-22745.13102,-18196.10482,-17235.40275,-20682.4833,-19753.83159,-16066.89823,-19280.27788,-19744.03735,-15795.22988,-18954.27585,-22745.13102,-18196.10482,-17235.40275
SLOVENIA,-3878.676957,-3353.926772,-2491.941351,-2613.622569,-2999.670113,-3067.044683,-4143.568559,-4731.952983,-4610.304562,-3472.92969,-2374.883755,-1669.90907,-1425.372555,-1398.057713,-2296.079316,-2755.295179,-2204.236143,-1950.923018,-2341.107622,-2574.823598,-2059.858879,-2293.940209,-2752.728251,-2202.182601,-2296.079316,-2755.295179,-2204.236143,-1950.923018,-2341.107622,-2574.823598
SERBIA,-355.5004989,-357.827956,-2289.73005,-2484.981595,-2049.054251,-1899.079245,-1832.538501,-1388.280822,-893.3204488,-585.4218957,-502.7793717,-187.6224184,-43.30190645,-28.7507392,-382.2121242,-458.6545489,-366.923639,-434.8506592,-506.6462054,-405.3169645,-324.2535715,-389.1042857,-466.9251431,-376.9701314,-382.2121242,-458.6545489,-366.923639,-434.8506592,-506.6462054,-405.3169645
RUSSIA,-94277.5476,-99371.92817,-97821.23985,-89735.88433,-78340.61166,-71069.00846,-75427.49454,-68752.2167,-68357.97492,-64595.4187,-66861.37843,-55011.08705,-55489.46463,-57173.74076,-60240.98743,-67515.59046,-54012.47236,-60183.32783,-72219.99342,-57775.99472,-51157.75694,-61389.30831,-66109.2338,-52887.38703,-60240.98743,-67515.59046,-54012.47236,-60183.32783,-72219.99342,-57775.99472
AZERBAIJAN,-108.9545747,-108.9545747,-108.9545747,-108.9545747,-108.9545747,-118.5540967,-118.5540967,-199.1900815,-244.3385807,-164.8695698,-165.7840182,-47.15339866,-81.85652474,-129.5494097,-9.281836424,-7.425469138,-8.910562965,-10.69267556,-10.62534915,-8.500279317,-7.288413835,-8.746096604,-8.30634624,-6.645076991,-9.281836424,-7.425469138,-8.910562965,-10.69267556,-10.62534915,-8.500279317
BELARUS,-11061.45575,-14042.07146,-13973.13528,-9294.792381,-9151.98921,-6251.104805,-6220.983215,-3309.062844,-3494.683847,-3682.213139,-3538.450425,-4291.599269,-4177.231998,-5241.818988,-5301.295272,-6361.554327,-5089.243461,-4071.394768,-4885.673724,-5862.808468,-4690.246773,-4945.135522,-5934.162628,-4747.330102,-5301.295272,-6361.554327,-5089.243461,-4071.394768,-4885.673724,-5862.808468
KAZAKHSTAN,-926.7289718,-926.7289718,-926.7289718,-2062.176422,-1572.442835,-1523.984789,-1735.058396,-1515.038171,-2000.916918,-2732.15323,-2951.408226,-3384.56831,-4454.137896,-4318.4286,-1793.198781,-1434.559025,-1721.47083,-2065.764996,-1652.611997,-1542.17087,-1850.605044,-1847.628379,-1478.102703,-1773.723244,-1793.198781,-1434.559025,-1721.47083,-2065.764996,-1652.611997,-1542.17087
UKRAINE,-3762.068045,-3178.734132,-2328.318421,-1559.957034,-1074.906373,-853.4011954,-1041.267325,-1009.567791,-1025.337243,-499.3817559,-567.2198356,-56.59632205,-43.83434491,-222.5501675,-613.8995109,-736.6794132,-589.3435305,-471.4748246,-565.7697895,-678.9237472,-543.1389977,-444.7062536,-533.6475045,-640.3770053,-613.8995109,-736.6794132,-589.3435305,-471.4748246,-565.7697895,-678.9237472
UZBEKISTAN ,-5631.045443,-4645.157453,-5273.134267,-5643.336658,-4486.766022,-2395.778327,-3020.308334,-4758.123809,-6385.145082,-6543.709784,-5830.883577,-7633.39696,-9559.05424,-9932.376576,-5045.996427,-4036.797141,-4844.156571,-5812.987884,-4650.390309,-4649.939767,-5579.92772,-4463.942176,-4669.623949,-5603.548738,-5045.996427,-4036.797141,-4844.156571,-5812.987884,-4650.390309,-4649.939767
TURKEY,-69311.18641,-61071.03224,-62068.72471,-60621.89519,-71310.22299,-72798.18465,-77958.66602,-77175.06169,-73235.67748,-58740.34024,-58921.46279,-65521.28188,-66799.82644,-64653.68234,-64959.2764,-65836.00237,-62250.12226,-67390.06179,-65793.62416,-57914.88764,-69497.86516,-68765.85149,-55012.68119,-66015.21743,-64959.2764,-65836.00237,-62250.12226,-67390.06179,-65793.62416,-57914.88764
NORTH AMERICA,-826480.0558,-930387.8119,-977019.1176,-1030837.3,-1067591.353,-1135392.052,-1135618.845,-1175414.377,-1162896.324,-948074.8764,-977502.1503,-1076770.001,-1152385.809,-1207765.539,-942494.8888,-753995.9109,-904795.0932,-1085754.112,-868603.2895,-831197.1283,-997436.5537,-946440.491,-765434.7153,-918521.6582,-942494.8888,-753995.9109,-904795.0932,-1085754.112,-868603.2895,-831197.1283
CANADA  ,-105012.21,-124749.3024,-122888.4119,-126254.7418,-119549.5687,-130643.7142,-120368.3334,-114120.0292,-116038.2397,-84659.99681,-68365.30601,-79237.65317,-96389.32588,-91002.17199,-64241.37093,-51393.09673,-61671.71608,-74006.05929,-59204.84743,-55894.15363,-67072.98437,-66640.8298,-53312.66385,-63975.19662,-64241.37093,-51393.09673,-61671.71608,-74006.05929,-59204.84743,-55894.15363
MEXICO,-164683.8758,-179963.4732,-185764.6121,-199772.5841,-211038.1206,-228393.3144,-265181.3517,-282086.4281,-284528.0043,-233506.2944,-243917.1319,-275618.5184,-296035.1428,-323479.5133,-230771.7959,-184617.4367,-221540.9241,-265849.1089,-212679.2871,-208514.5918,-250217.5101,-219880.8608,-196750.2119,-236100.2543,-230771.7959,-184617.4367,-221540.9241,-265849.1089,-212679.2871,-208514.5918
